StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Set a Value Now,Q_DataPolicyViolations
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,What is your Prolific ID?,Are you aware that the fake images in this study are AI generated?,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Please give a detailed justification for your responses,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Please give a detailed justification for your responses,Set a Value Now,Q_DataPolicyViolations
"{""ImportId"":""startDate"",""timeZone"":""Australia/Brisbane""}","{""ImportId"":""endDate"",""timeZone"":""Australia/Brisbane""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Australia/Brisbane""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""QID80""}","{""ImportId"":""QID1""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID67_TEXT""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID79""}","{""ImportId"":""QID68_TEXT""}","{""ImportId"":""Set a Value Now""}","{""ImportId"":""Q_DataPolicyViolations""}"
24/08/2023 15:52,24/08/2023 15:58,0,93.34.236.42,100,377,1,24/08/2023 15:58,R_07JdJUL1WK24GQ1,,,,,45.4317,10.9859,anonymous,EN,1,5ef9e9ec57feeb067b7d0274,1,1,2,1,2,2,2,2,2,2,1,Usially you can spot ai generated images becausa the background Is blurred or the face loooks too perfect ,2,2,1,2,2,2,1,2,2,2,The background Is blurred and they never smile,,
24/08/2023 15:56,24/08/2023 15:59,0,133.32.219.171,100,188,1,24/08/2023 15:59,R_3RcFei9mCs113a1,,,,,35.6837,139.6805,anonymous,EN,0.899999976,5f7694edc99f3112b494e122,1,2,2,1,1,2,2,2,2,2,2,"I had absolutely no idea wich one was real and which one was AI generated, I had to choose randomly.",2,2,2,2,2,2,1,2,1,1,I had to choose randomly since I had absolutely no idea which one was which.,,
24/08/2023 15:57,24/08/2023 16:00,0,80.189.247.59,100,188,1,24/08/2023 16:00,R_1mr2QeJbPjAYZWJ,,,,,54.4337,-7.1564,anonymous,EN,0.899999976,5c4f5967aac8be0001716a65,1,2,2,2,2,2,2,2,2,2,2,The AI images tended to half a sullen or neutral expression and the angle at which they pose is seems professional and the background tends to be blurred. ,2,2,1,2,2,2,2,2,1,2,The facial features lack imperfections and the shape of the head is pretty symmetrical.,,
24/08/2023 15:53,24/08/2023 16:00,0,82.37.3.213,100,437,1,24/08/2023 16:00,R_3e2jodC6MiNcgVF,,,,,51.4535,-2.5917,anonymous,EN,0.899999976,55ed96367480920010aaaa58,1,1,2,2,1,2,2,2,1,2,2,My first point of reference is in the eyes. AI generated faces all seem to have a not quite worldly look about the eyes. They seem to look into the middle distance.,2,1,1,1,1,1,1,2,2,1,"This batch were harder than the first, but I still think that it's the 'deadness' of the eyes that made the difference.",,
24/08/2023 15:55,24/08/2023 16:00,0,68.144.192.100,100,305,1,24/08/2023 16:00,R_1FnDyF0iqoqZpLZ,,,,,49.6506,-112.8372,anonymous,EN,1,605bb37de29622048ccd570c,1,2,1,1,2,2,1,1,2,2,2,"I don't have one, AI usually seems to have a bit of an aura of unreality about it. I just chose based on that feeling.",2,2,1,2,2,2,1,1,1,1,"Again, it's just an aura. I couldn't define it. There's an artifice that can't be described.",,
24/08/2023 15:52,24/08/2023 16:00,0,79.179.69.252,100,465,1,24/08/2023 16:00,R_pS2GjUjxvagDBSh,,,,,32.0803,34.7805,anonymous,EN,0.899999976,5f8370c6e0804f4fb492bcdc,1,1,1,2,2,1,1,2,2,1,1,"i checked how many teeth are there in the smile, for the other ones it was a gut feeling..",2,2,2,1,2,2,1,2,2,2,"the same as the first one - checkes for teeth, checked if there are wrinkles too visible or not",,
24/08/2023 15:57,24/08/2023 16:00,0,83.164.141.51,100,207,1,24/08/2023 16:00,R_1FyasK9TuD64E3u,,,,,48.3074,14.285,anonymous,EN,1,64526d16abbebf285eae03f9,1,2,2,2,2,2,2,1,2,1,2,"I looked at the backgrounds of the images and try to find some details on what I think the AI is not capable of creating. Also went usually for the ""better, clearer"" picture as I would assume that the AI tries to get it done as perfect as possible",2,2,1,2,2,2,1,2,2,1,"Same again went for the ""better, clearer"" picture as I think the AI would not create ""imperfect"" pictures.",,
24/08/2023 15:57,24/08/2023 16:01,0,161.29.17.24,100,248,1,24/08/2023 16:01,R_Tt6iIduSUVbcxIB,,,,,-37.7888,175.2876,anonymous,EN,1,648b1082539ab3204e8bd9fa,1,1,1,1,1,1,2,1,1,1,1,something seems too perfect or slightly off with the images,1,1,1,1,1,1,1,2,1,1,"same as previous answer, something seems off",,
